start,end,sender,receiver,contradiction,proof,cues,category,intended,intention_decoded
365,370,MRSGUMP,OLDMEN,1,IMMEDIATE,RHETORICALQ TONECHANGE,IRONY,1,
376,381,MRSGUMP,FORRESTJR,1,PAST,RAISEDEYEBROW,,0,0
467,475,MAN,MRSGUMP,0,IMMEDIATE,RAISEDEYEBROW,,,
478,484,MRSGUMP,MAN,0,IMMEDIATE,EYEROLLING RAISEDEYEBROW RHETORICALQ UNDERSTATEMENT,,,
489,492,MRSGUMP,MAN,1,PAST,RAISEDEYEBROW TONECHANGE,IRONY,1,1
515,516,MRSGUMP,MAN,1,IMMEDIATE,TONECHANGE,LIE,1,1
572,578,MRSGUMP,FORRESTJR,1,IMMEDIATE,PAUSE TONECHANGE,LIE,1,0
759,760,BOY,FORRESTJR,1,IMMEDIATE,,LIE,1,
831,833,JENNY,FORRESTJR,1,IMMEDIATE,RHETORICALQ,IRONY,1,0
905,907,BOY,FORRESTJR,1,IMMEDIATE,RHETORICALQ,IRONY,1,0
1046,1052,FORRESTVO,,1,PAST,,,0,
1146,1154,BOY,FORRESTJR,1,IMMEDIATE,RHETORICALQ TONECHANGE,IRONY,1,
1231,1235,MAN,MAN,0,PAST,LAUGH,,,
1505,1507,JENNY,FORREST,0,,RHETORICALQ,IRONY,1,0
1671,1672,MAN,FORREST,1,IMMEDIATE,,LIE,1,
1675,1676,MAN,FORREST,1,IMMEDIATE,,LIE,1,
1765,1776,MAN,FORREST,1,PAST,EXAGGERATION TONECHANGE,,1,
1903,1912,FORRESTVO,,1,IMMEDIATE,,,0,
1973,1978,FORRESTVO,,1,IMMEDIATE,,,0,
1989,1991,MAN,MEN,0,,LAUGH,,,
2246,2249,DAN,BUBBA,1,,EXAGGERATION,IRONY,1,
2255,2256,DAN,FORREST BUBBA,1,IMMEDIATE,LAUGH RAISEDEYEBROW RHETORICALQ,IRONY,1,0
2938,2940,BUBBA,FORREST,1,IMMEDIATE,,LIE,1,1
2951,2953,BUBBA,FORREST,1,IMMEDIATE,,LIE,1,
2969,2972,BUBBA,FORREST,1,IMMEDIATE,,LIE,1,
3245,3248,FORRESTVO,,1,IMMEDIATE,,,0,
3317,3318,MAN,FORREST,1,IMMEDIATE,RAISEDEYEBROW,IRONY,1,0
3764,3766,FORRESTVO,,1,IMMEDIATE PAST,,,0,
4059,4068,DAN,FORREST,1,IMMEDIATE,EXAGGERATION PAUSE RAISEDEYEBROW TEMPOCHANGE TONECHANGE,IRONY,1,
4104,4110,DAN,MAN,1,IMMEDIATE,RHETORICALQ TONECHANGE,IRONY,1,
4131,4134,DAN,FORREST,0,,RHETORICALQ,,1,0
4177,4189,DAN,FORREST,0,,EYEROLLING TONECHANGE,,,
4197,4212,DAN,FORREST,1,IMMEDIATE,RAISEDEYEBROW TONECHANGE,IRONY,1,
4248,4262,DAN,FORREST,1,IMMEDIATE,EXAGGERATION LAUGH RAISEDEYEBROW TONECHANGE,IRONY,1,0
4263,4268,DAN,FORREST,1,IMMEDIATE,EXAGGERATION LAUGH RAISEDEYEBROW,IRONY,1,
4410,4421,FORREST,MAN,1,IMMEDIATE,,,0,0
4559,4559,WOMAN,FORREST,1,IMMEDIATE PAST,PAUSE RHETORICALQ,IRONY,1,0
4598,4602,OLDMAN,FORREST,1,IMMEDIATE PAST,PAUSE RHETORICALQ,IRONY,1,0
4662,4664,OLDMAN,FORREST,1,IMMEDIATE,EXAGGERATION LAUGH,IRONY,1,
4870,4872,DAN,FORREST,1,IMMEDIATE PAST,,IRONY,1,0
4971,4973,DAN,FORREST,1,PAST,RAISEDEYEBROW RHETORICALQ TONECHANGE,IRONY,1,0
5005,5007,DAN,FORREST,1,IMMEDIATE,RHETORICALQ,,1,0
5037,5043,DAN,,1,IMMEDIATE,RHETORICALQ UNDERSTATEMENT,IRONY,1,
5044,5062,DAN,,1,IMMEDIATE,EXAGGERATION LAUGH,IRONY,1,
5127,5131,MAN,FORREST,0,IMMEDIATE,LAUGH RAISEDEYEBROW TONECHANGE,,,
5134,5136,MAN,WOMAN,1,IMMEDIATE,EXAGGERATION LAUGH TONECHANGE,IRONY,1,
